Date,Open,High,Low,Close,Adj Close,Volume
2014-01-24,2.34,2.372,2.322,2.328,2.306623,12373455.0
2014-01-27,2.316,2.354,2.29,2.32,2.298696,6894560.0
2014-01-28,2.34,2.34,2.28,2.298,2.276898,5313225.0
2014-01-29,2.312,2.324,2.296,2.304,2.282843,5168105.0
2014-01-30,2.3,2.308,2.27,2.274,2.253118,3909985.0
2014-02-07,2.274,2.318,2.25,2.314,2.292751,4269450.0
2014-02-10,2.322,2.39,2.316,2.382,2.360127,12890835.0
2014-02-11,2.384,2.43,2.36,2.418,2.395796,15094915.0
2014-02-12,2.436,2.448,2.394,2.432,2.409667,13084425.0
2014-02-13,2.418,2.496,2.402,2.426,2.403723,16418400.0
2014-02-14,2.438,2.496,2.426,2.49,2.467135,12817195.0
2014-02-17,2.496,2.542,2.47,2.506,2.482988,13311215.0
2014-02-18,2.52,2.586,2.482,2.486,2.463172,16748890.0
2014-02-19,2.47,2.492,2.44,2.452,2.429484,12282825.0
2014-02-20,2.452,2.57,2.402,2.434,2.411649,12922275.0
2014-02-21,2.434,2.454,2.402,2.438,2.415612,6459785.0
2014-02-24,2.43,2.474,2.4,2.47,2.447319,8088065.0
2014-02-25,2.466,2.508,2.32,2.334,2.312567,11249905.0
2014-02-26,2.334,2.376,2.312,2.37,2.348237,5960260.0
2014-02-27,2.37,2.4,2.29,2.294,2.272935,8445300.0
2014-02-28,2.3,2.338,2.286,2.326,2.304641,5286095.0
2014-03-03,2.346,2.382,2.326,2.38,2.358145,6431500.0
2014-03-04,2.364,2.38,2.322,2.364,2.342292,6051050.0
2014-03-05,2.38,2.38,2.34,2.36,2.338329,5227455.0
2014-03-06,2.342,2.36,2.332,2.348,2.326439,4101480.0
2014-03-07,2.356,2.39,2.348,2.368,2.346255,7005810.0
2014-03-10,2.37,2.37,2.278,2.284,2.263026,6115935.0
2014-03-11,2.282,2.308,2.258,2.286,2.265008,3126175.0
2014-03-12,2.264,2.3,2.248,2.286,2.265008,3767935.0
2014-03-13,2.294,2.308,2.27,2.286,2.265008,3495800.0
2014-03-14,2.286,2.286,2.224,2.25,2.229339,3845790.0
2014-03-17,2.25,2.296,2.242,2.294,2.272935,4526125.0
2014-03-18,2.3,2.358,2.294,2.34,2.318512,7510495.0
2014-03-19,2.348,2.36,2.316,2.352,2.330402,3324275.0
2014-03-20,2.358,2.378,2.292,2.292,2.270953,4969345.0
2014-03-21,2.282,2.368,2.264,2.358,2.336347,4893250.0
2014-03-24,2.37,2.414,2.362,2.392,2.370035,7670665.0
2014-03-25,2.38,2.468,2.366,2.41,2.38787,8819930.0
2014-03-26,2.406,2.44,2.38,2.438,2.415612,6356205.0
2014-03-27,2.42,2.456,2.376,2.392,2.370035,8205830.0
2014-03-28,2.378,2.47,2.338,2.416,2.393814,9086545.0
2014-03-31,2.308,2.364,2.216,2.224,2.203578,11014005.0
2014-04-01,2.22,2.244,2.206,2.232,2.211504,6212435.0
2014-04-02,2.236,2.24,2.22,2.226,2.205559,3753005.0
2014-04-03,2.232,2.27,2.226,2.254,2.233302,5147305.0
2014-04-04,2.238,2.26,2.23,2.258,2.237265,3002205.0
2014-04-08,2.258,2.258,2.21,2.25,2.229339,5370740.0
2014-04-09,2.264,2.29,2.242,2.28,2.259063,4392140.0
2014-04-10,2.302,2.302,2.262,2.268,2.247173,4109515.0
2014-04-11,2.25,2.288,2.25,2.278,2.257082,2841570.0
2014-04-14,2.29,2.304,2.272,2.286,2.265008,2776810.0
2014-04-15,2.27,2.286,2.248,2.254,2.233302,3104245.0
2014-04-16,2.248,2.28,2.248,2.274,2.253118,1931695.0
2014-04-17,2.274,2.292,2.26,2.268,2.247173,2735585.0
2014-04-18,2.268,2.268,2.238,2.252,2.231321,2790020.0
2014-04-21,2.242,2.27,2.202,2.246,2.225376,3993510.0
2014-04-22,2.232,2.248,2.188,2.204,2.183761,3183060.0
2014-04-23,2.204,2.214,2.19,2.214,2.193669,2342565.0
2014-04-24,2.224,2.27,2.156,2.164,2.144129,3354575.0
2014-04-25,2.17,2.18,2.0,2.066,2.047028,6200290.0
2014-04-28,2.04,2.134,1.998,2.104,2.08468,6984385.0
2014-04-29,2.092,2.114,2.062,2.112,2.092606,2371775.0
2014-04-30,2.112,2.13,2.072,2.124,2.104496,2566665.0
2014-05-05,2.124,2.164,2.114,2.146,2.126294,3891095.0
2014-05-06,2.13,2.238,2.118,2.226,2.205559,7688125.0
2014-05-07,2.21,2.3,2.196,2.2,2.179798,5592500.0
2014-05-08,2.166,2.248,2.166,2.204,2.183761,1268630.0
2014-05-09,2.176,2.24,2.176,2.2,2.179798,1352705.0
2014-05-12,2.198,2.3,2.198,2.294,2.272935,6925425.0
2014-05-13,2.28,2.312,2.26,2.27,2.249155,3199220.0
2014-05-14,2.26,2.3,2.25,2.262,2.241229,2471620.0
2014-05-15,2.246,2.274,2.23,2.238,2.217449,2260880.0
2014-05-16,2.206,2.25,2.2,2.24,2.219431,1694530.0
2014-05-19,2.236,2.27,2.222,2.25,2.229339,1894295.0
2014-05-20,2.274,2.29,2.226,2.226,2.205559,1089615.0
2014-05-21,2.246,2.258,2.212,2.244,2.223394,1755920.0
2014-05-22,2.234,2.268,2.234,2.238,2.217449,1056500.0
2014-05-23,2.23,2.25,2.228,2.234,2.213486,1222685.0
2014-05-26,2.254,2.28,2.228,2.236,2.215467,4115200.0
2014-05-27,2.246,2.256,2.216,2.218,2.197633,2510250.0
2014-05-28,2.178,2.232,2.106,2.22,2.199614,8608635.0
2014-05-29,2.194,2.23,2.142,2.142,2.12233,4632310.0
2014-05-30,2.124,2.144,2.098,2.1,2.080716,4952950.0
2014-06-03,2.1,2.142,2.1,2.128,2.108459,4229260.0
